Pclass,Sex_encoded,Age,SibSp,Parch,Fare_log,Embarked_encoded,Titulo_encoded,Survived
3,1,22.0,1,0,2.1102132003465894,2,4,0
1,0,38.0,1,0,4.2805931204649,0,5,1
3,0,26.0,0,0,2.188856327665703,2,3,1
1,0,35.0,1,0,3.9908341858524357,2,5,1
3,1,35.0,0,0,2.2027647577118348,2,4,0
3,1,22.684,0,0,2.246892662898172,1,4,0
1,1,54.0,0,0,3.967694202798607,2,4,0
3,1,2.0,3,1,3.0944457464900235,2,1,0
3,0,27.0,0,2,2.495953738718064,2,5,1
2,0,14.0,1,0,3.436268471383741,0,5,1
3,0,4.0,1,1,2.8735646395797834,2,3,1
1,0,58.0,0,0,3.3160025355989236,2,3,1
3,1,20.0,0,0,2.2027647577118348,2,4,0
3,1,39.0,1,5,3.4742929367327062,2,4,0
3,0,14.0,0,0,2.180891922715322,2,3,0
2,0,55.0,0,0,2.833213344056216,2,5,1
3,1,2.0,4,1,3.405355391810819,1,1,0
2,1,26.6,0,0,2.6390573296152584,2,4,1
3,0,31.0,1,0,2.9444389791664403,2,5,0
3,0,26.4,0,0,2.1071782966514356,0,5,1
2,1,35.0,0,0,3.295836866004329,2,4,0
2,1,34.0,0,0,2.6390573296152584,2,4,1
3,0,15.0,0,0,2.2004637699272855,1,3,1
1,1,28.0,0,0,3.597312260588446,2,4,1
3,0,8.0,3,1,3.0944457464900235,2,3,0
3,0,38.0,1,5,3.4777725458882283,2,5,1
3,1,26.4,0,0,2.1071782966514356,0,4,0
1,1,19.0,3,2,5.575949103146316,2,4,0
3,0,29.0,0,0,2.1837114628556327,1,3,1
3,1,31.8,0,0,2.1855792552411137,2,4,0
1,1,40.0,0,0,3.357621598945279,0,6,0
1,0,21.584,1,0,4.993969182787072,0,5,1
3,0,34.4,0,0,2.169053700369523,1,3,1
2,1,65.0,0,0,2.4423470353692043,2,4,0
1,1,28.0,1,0,4.420896324687287,0,4,0
1,1,42.0,1,0,3.970291913552122,2,4,0
3,1,20.8,0,0,2.1076888046179385,0,4,1
3,1,21.0,0,0,2.2027647577118348,2,4,0
3,0,18.0,2,0,2.9444389791664403,2,3,0
3,0,14.0,1,0,2.5048481563289,0,3,1
3,0,40.0,1,0,2.348991465808201,2,5,0
2,0,27.0,1,0,3.091042453358316,2,5,0
3,1,31.8,0,0,2.1855792552411137,0,4,0
2,0,3.0,1,2,3.7513658711253766,0,3,1
3,0,19.0,0,0,2.1837114628556327,1,3,1
3,1,24.6,0,0,2.2027647577118348,2,4,0
3,1,25.8,1,0,2.803360380906535,1,4,0
3,0,34.4,0,0,2.169053700369523,1,3,1
3,1,9.2,2,0,3.1214482048688246,0,4,0
3,0,18.0,1,0,2.9338568698359038,2,5,0
3,1,7.0,4,1,3.705920919968788,2,1,0
3,1,21.0,0,0,2.174751721484161,2,4,0
1,0,49.0,1,0,4.353230991152628,0,5,1
2,0,29.0,1,0,3.295836866004329,2,5,1
1,1,65.0,0,1,4.142804513146981,0,4,0
1,1,49.4,0,0,3.597312260588446,2,4,1
2,0,21.0,0,0,2.4423470353692043,2,3,1
3,1,28.5,0,0,2.1076888046179385,0,4,0
2,0,5.0,1,2,3.3586377672433594,2,3,1
3,1,11.0,5,2,3.8691155044168695,2,1,0
3,1,22.0,0,0,2.1076888046179385,0,4,0
1,0,38.0,0,0,4.394449154672439,2,3,1
1,1,45.0,1,0,4.436455632600354,2,4,0
3,1,4.0,3,2,3.3638415951183864,2,1,0
1,1,41.9,0,0,3.357621598945279,0,4,0
3,1,29.2,1,1,2.7878344138303452,0,1,1
2,0,29.0,0,0,2.4423470353692043,2,5,1
3,1,19.0,0,0,2.2146605719425225,2,4,0
3,0,17.0,4,2,2.188856327665703,2,3,1
3,1,26.0,2,0,2.2682524139135403,2,4,0
2,1,32.0,0,0,2.4423470353692043,2,4,0
3,0,16.0,5,2,3.8691155044168695,2,3,0
2,1,21.0,0,0,4.310799125385514,2,4,0
3,1,26.0,1,0,2.737880811060884,0,4,0
3,1,32.0,0,0,4.05171190165724,2,4,1
3,1,25.0,0,0,2.157559320943788,2,4,0
3,1,31.8,0,0,2.1855792552411137,2,4,0
3,1,24.6,0,0,2.2027647577118348,2,4,0
2,1,1.0,0,2,3.4011973816621555,2,1,1
3,0,30.0,0,0,2.600836116795061,2,3,1
3,1,22.0,0,0,2.302585092994046,2,4,0
3,1,29.0,0,0,2.3513752571634776,2,4,1
3,0,22.4,0,0,2.1733302571367834,1,3,1
1,1,28.0,0,0,3.8732821771117156,2,4,0
2,0,17.0,0,0,2.4423470353692043,2,3,1
3,0,33.0,3,0,2.8243506567983707,2,5,1
3,1,16.0,1,3,3.5660053559634015,2,4,0
3,1,24.6,0,0,2.2027647577118348,2,4,0
1,0,23.0,3,2,5.575949103146316,2,3,1
3,1,24.0,0,0,2.2027647577118348,2,4,0
3,1,29.0,0,0,2.2027647577118348,2,4,0
3,1,20.0,0,0,2.180891922715322,2,4,0
1,1,46.0,1,0,4.1299529896894684,2,4,0
3,1,26.0,1,2,3.0715352369694915,2,4,0
3,1,59.0,0,0,2.1102132003465894,2,4,0
3,1,24.6,0,0,2.2027647577118348,2,4,0
1,1,65.0,0,0,3.57386695198272,0,4,0
1,1,23.0,0,1,4.164465907853638,0,4,1
2,0,34.0,0,1,3.1780538303479458,2,5,1
2,1,34.0,1,0,3.295836866004329,2,4,0
3,0,28.0,0,0,2.1855792552411137,2,3,0
3,1,31.8,0,0,2.1855792552411137,2,4,0
1,1,21.0,0,1,4.360387947851531,2,4,0
3,1,33.0,0,0,2.267393053825037,2,4,0
3,1,37.0,2,0,2.188856327665703,2,4,0
3,1,28.0,0,0,2.1855792552411137,2,4,0
3,0,21.0,0,0,2.157559320943788,2,3,1
3,1,34.8,0,0,2.1719067693519296,2,4,1
3,1,38.0,0,0,2.1855792552411137,2,4,0
3,0,27.8,1,0,3.224857896545748,1,3,1
1,1,47.0,0,0,3.970291913552122,2,4,0
3,0,14.5,1,0,2.737880811060884,0,3,0
3,1,22.0,0,0,2.2027647577118348,2,4,0
3,0,20.0,1,0,2.3818582738885534,2,3,0
3,0,17.0,0,0,2.738146075922933,0,3,0
3,1,21.0,0,0,2.188856327665703,2,4,0
3,1,65.0,0,0,2.169053700369523,1,4,0
2,1,29.0,1,0,3.091042453358316,2,4,0
1,1,24.0,0,1,5.515526544247129,0,4,0
3,0,2.0,4,2,3.4742929367327062,2,3,0
2,1,21.0,2,0,4.310799125385514,2,4,0
3,1,24.6,0,0,2.2027647577118348,2,4,0
2,1,32.5,1,0,3.436268471383741,0,4,0
2,0,32.5,0,0,2.6390573296152584,2,3,1
1,1,54.0,0,1,4.360387947851531,2,4,0
3,1,12.0,1,0,2.5048481563289,0,1,1
3,1,34.4,0,0,2.169053700369523,1,4,0
3,1,24.0,0,0,2.0969990034181696,2,4,1
3,0,17.6,1,1,3.1509523813392697,0,3,1
3,1,45.0,0,0,2.076311648670908,2,4,0
3,1,33.0,0,0,2.1855792552411137,0,4,0
3,1,20.0,0,0,2.085672091430472,2,4,0
3,0,47.0,1,0,2.740840023925201,2,5,0
2,0,29.0,1,0,3.295836866004329,2,5,1
2,1,25.0,0,0,2.6390573296152584,2,4,0
2,1,23.0,0,0,2.775447133088262,0,4,0
1,0,19.0,0,2,3.3062747934011893,2,3,1
1,1,37.0,1,0,3.9908341858524357,2,4,0
3,1,16.0,0,0,2.3240236363515288,2,4,0
1,1,24.0,0,0,4.384523514872469,0,4,0
3,0,29.2,0,2,2.7878344138303452,0,5,0
3,0,22.0,0,0,2.169053700369523,2,3,1
3,0,24.0,1,0,2.8243506567983707,2,5,1
3,1,19.0,0,0,2.0476928433652555,1,4,0
2,1,18.0,0,0,2.5257286443082556,2,4,0
2,1,19.0,1,1,3.6309854756950335,2,4,0
3,1,27.0,0,0,2.174274334826008,2,4,1
3,0,9.0,2,2,3.5660053559634015,2,3,0
2,1,36.5,0,2,3.295836866004329,2,4,0
2,1,42.0,0,0,2.6390573296152584,2,7,0
2,1,51.0,0,0,2.6045398247325453,2,7,0
1,0,22.0,1,0,4.213607983048918,2,5,1
3,1,55.5,0,0,2.2027647577118348,2,4,0
3,1,40.5,0,2,2.740840023925201,2,4,0
3,1,33.9,0,0,2.1177604059819726,2,4,0
1,1,51.0,0,1,4.133231886474144,0,4,0
3,0,16.0,0,0,2.167143305297764,1,3,1
3,1,30.0,0,0,2.2027647577118348,2,4,0
3,1,26.2,0,0,2.2682524139135403,2,4,0
3,1,38.4,8,2,4.256321678298823,2,1,0
3,1,44.0,0,1,2.8390784635086144,2,4,0
2,0,40.0,0,0,2.8183982582710754,2,5,1
3,1,26.0,0,0,2.1719067693519296,2,4,0
3,1,17.0,0,0,2.2682524139135403,2,4,0
3,1,1.0,4,1,3.705920919968788,2,1,0
3,1,9.0,0,2,3.0692150503137943,2,1,1
1,0,33.8,0,1,4.02535169073515,2,5,1
3,0,45.0,1,4,3.3638415951183864,2,5,0
1,1,45.4,0,0,3.2930552230424524,2,4,0
3,1,28.0,0,0,4.05171190165724,2,4,0
1,1,61.0,0,0,3.5409593240373143,2,4,0
3,1,4.0,4,1,3.405355391810819,1,1,0
3,0,1.0,1,1,2.495953738718064,2,3,1
3,1,21.0,0,0,2.188856327665703,2,4,0
1,1,56.0,0,0,3.4561841799918147,0,4,0
3,1,18.0,1,1,2.180891922715322,2,4,0
3,1,12.8,3,1,3.275887339030031,2,1,0
1,0,50.0,0,0,3.391567832686312,0,3,0
2,1,30.0,0,0,2.6390573296152584,2,4,0
3,1,36.0,0,0,0.0,2,4,0
3,0,38.4,8,2,4.256321678298823,2,3,0
2,1,26.934000000000005,0,0,2.775708849576025,0,4,0
3,1,9.0,4,2,3.4777725458882283,2,1,0
2,1,1.0,2,1,3.6888794541139363,2,1,1
3,0,4.0,0,2,3.1365805821413706,2,3,1
1,1,40.2,0,0,3.9318256327243257,2,4,0
3,0,25.8,1,0,2.803360380906535,1,5,1
1,1,45.0,0,0,3.3160025355989236,2,4,1
3,1,40.0,1,1,2.803360380906535,1,4,0
3,1,36.0,0,0,2.1855792552411137,2,4,0
2,0,32.0,0,0,2.6390573296152584,2,5,1
2,1,19.0,0,0,2.6390573296152584,2,4,0
3,0,19.0,1,0,2.180891922715322,2,3,1
2,1,3.0,1,1,3.295836866004329,2,1,1
1,0,44.0,0,0,3.357621598945279,0,5,1
1,0,58.0,0,0,4.993969182787072,0,3,1
3,1,34.4,0,0,2.169053700369523,1,4,0
3,1,42.0,0,1,2.2411563979973974,2,4,0
3,0,34.4,0,0,2.169053700369523,1,3,1
2,0,24.0,0,0,2.6390573296152584,2,3,0
3,1,28.0,0,0,2.3513752571634776,2,4,0
3,1,38.4,8,2,4.256321678298823,2,4,0
3,1,34.0,0,0,2.0143428636837015,2,4,0
3,1,45.5,0,0,2.1071782966514356,0,4,0
3,1,18.0,0,0,2.2027647577118348,2,4,1
3,0,2.0,0,1,2.4390808375825834,2,3,0
3,1,32.0,1,0,2.8243506567983707,2,4,0
3,1,26.0,0,0,2.9850504252071306,0,4,1
3,0,16.0,0,0,2.169053700369523,1,3,1
1,1,40.0,0,0,3.4657359027997265,0,4,1
3,1,24.0,0,0,2.085672091430472,2,4,0
2,0,35.0,0,0,3.091042453358316,2,3,1
3,1,22.0,0,0,2.1102132003465894,2,4,0
2,1,30.0,0,0,2.6390573296152584,2,4,0
3,1,34.4,1,0,2.169053700369523,1,4,0
1,0,31.0,1,0,4.738607824217808,0,3,1
3,0,27.0,0,0,2.188856327665703,2,3,1
2,1,42.0,1,0,3.332204510175204,2,4,0
1,0,32.0,0,0,4.347586575960343,0,3,1
2,1,30.0,0,0,2.4423470353692043,2,4,0
3,1,16.0,0,0,2.2027647577118348,2,4,1
2,1,27.0,0,0,2.6390573296152584,2,4,0
3,1,51.0,0,0,2.2027647577118348,2,4,0
3,1,31.8,0,0,2.1855792552411137,2,4,0
1,1,38.0,1,0,4.51085950651685,2,4,1
3,1,22.0,0,0,2.336986519711378,2,4,0
2,1,19.0,0,0,2.4423470353692043,2,4,1
3,1,20.5,0,0,2.1102132003465894,2,4,0
2,1,18.0,0,0,2.6390573296152584,2,4,0
3,0,12.8,3,1,3.275887339030031,2,3,0
1,0,35.0,1,0,4.436455632600354,2,5,1
3,1,29.0,0,0,2.1719067693519296,2,4,0
2,1,59.0,0,0,2.6741486494265287,2,4,0
3,0,5.0,4,2,3.4777725458882283,2,3,1
2,1,24.0,0,0,2.4423470353692043,2,4,0
3,0,29.4,0,0,2.145931282948669,2,3,0
2,1,44.0,1,0,3.295836866004329,2,4,0
2,0,8.0,0,2,3.305053521109253,2,3,1
2,1,19.0,0,0,2.4423470353692043,2,4,0
2,1,33.0,0,0,2.5858825671280026,2,4,0
3,0,20.1,1,0,2.737880811060884,0,3,0
3,0,25.8,1,0,2.803360380906535,1,3,1
2,1,29.0,0,0,2.4423470353692043,2,4,0
3,1,22.0,0,0,2.094945728215801,2,4,0
3,1,30.0,0,0,2.1071782966514356,0,4,0
1,1,44.0,2,0,4.51085950651685,1,0,0
3,0,25.0,0,0,2.1719067693519296,2,3,0
2,0,24.0,0,2,2.740840023925201,2,5,1
1,1,37.0,1,1,3.9806942251907276,2,4,1
2,1,54.0,1,0,3.295836866004329,2,7,0
3,1,33.9,0,0,2.1102132003465894,2,4,0
3,0,29.0,1,1,2.4390808375825834,2,5,0
1,1,62.0,0,0,3.3160025355989236,2,4,0
3,1,30.0,1,0,2.8390784635086144,2,4,0
3,0,41.0,0,2,3.0545906305603445,2,5,0
3,0,29.0,0,2,2.7878344138303452,0,5,1
1,0,38.4,0,0,4.384523514872469,0,5,1
1,0,30.0,0,0,4.471638793363569,2,3,1
1,0,35.0,0,0,6.240917354759096,0,3,1
2,0,50.0,0,1,3.295836866004329,2,5,1
3,1,34.4,0,0,2.169053700369523,1,4,0
3,1,3.0,4,2,3.4777725458882283,2,1,1
1,1,52.0,1,1,4.390118804571218,2,4,0
1,1,40.0,0,0,0.0,2,4,0
3,0,34.4,0,0,2.169053700369523,1,3,0
2,1,36.0,0,0,2.4423470353692043,2,4,0
3,1,16.0,4,1,3.705920919968788,2,4,0
3,1,25.0,1,0,2.1719067693519296,2,4,1
1,0,58.0,0,1,5.039951348430309,2,5,1
1,0,35.0,0,0,4.91730069488021,2,3,1
1,1,41.0,0,0,3.4657359027997265,2,4,0
3,1,25.0,0,0,0.0,2,4,1
2,0,41.0,0,1,3.0204248861443626,2,5,1
1,1,37.0,0,1,3.4242626545931514,0,4,0
3,0,34.4,0,0,2.169053700369523,1,3,1
1,0,63.0,1,0,4.368919865004903,2,3,1
3,0,45.0,0,0,2.169053700369523,2,3,0
2,1,36.4,0,0,0.0,2,4,0
3,1,7.0,4,1,3.405355391810819,1,1,0
3,0,35.0,1,1,3.056356895370426,2,5,1
3,1,65.0,0,0,2.169053700369523,1,4,0
3,1,28.0,0,0,2.180891922715322,2,4,0
3,1,16.0,0,0,2.3513752571634776,2,4,0
3,1,19.0,0,0,2.2027647577118348,2,4,1
1,1,44.4,0,0,3.295836866004329,2,4,0
3,1,33.0,0,0,2.2682524139135403,0,4,0
3,1,30.0,0,0,2.3513752571634776,2,4,1
3,1,22.0,0,0,2.1855792552411137,2,4,0
2,1,42.0,0,0,2.6390573296152584,2,4,1
3,0,22.0,0,0,2.169053700369523,1,3,1
1,0,26.0,0,0,4.380149874661021,2,3,1
1,0,19.0,1,0,4.5226490762785785,0,5,1
2,1,36.0,0,0,2.630088659632498,0,4,0
3,0,24.0,0,0,2.2874714551839976,2,3,0
3,1,24.0,0,0,2.1855792552411137,2,4,0
1,1,41.9,0,0,3.357621598945279,0,4,0
3,1,23.5,0,0,2.1076888046179385,0,4,0
1,0,2.0,1,2,5.027492411162679,2,3,0
1,1,44.4,0,0,3.449987545831587,2,4,1
1,0,50.0,0,1,5.515526544247129,0,5,1
3,0,34.4,0,0,2.169053700369523,1,3,1
3,1,31.4,2,0,3.188416617383492,1,4,1
3,1,19.0,0,0,0.0,2,4,0
2,0,39.8,0,0,2.5915163848462583,1,3,1
3,1,24.6,0,0,2.2027647577118348,2,4,0
1,1,1.0,1,2,5.027492411162679,2,1,1
1,0,28.0,0,0,4.717456363787216,0,3,1
1,0,17.0,1,0,4.699570861409576,0,5,1
2,1,30.0,1,0,3.2188758248682006,0,4,0
1,0,30.0,0,0,4.0592215752427645,0,3,1
1,0,24.0,0,0,4.432699549165613,0,3,1
1,0,18.0,2,2,5.5735788721243535,0,3,1
2,0,26.0,1,1,3.295836866004329,2,5,0
3,1,28.0,0,0,2.1855792552411137,2,4,0
2,1,43.0,1,1,3.305053521109253,2,4,0
3,0,26.0,0,0,2.180891922715322,2,3,1
2,0,24.0,1,0,3.295836866004329,2,5,1
2,1,54.0,0,0,2.70805020110221,2,0,0
1,0,31.0,0,2,5.11118445372147,2,3,1
1,0,40.0,1,1,4.908971640319756,0,5,1
3,1,22.0,0,0,2.1102132003465894,2,4,0
3,1,27.0,0,0,2.1855792552411137,2,4,0
2,0,30.0,0,0,2.5915163848462583,1,3,1
2,0,22.0,1,1,3.4011973816621555,2,5,1
3,1,38.4,8,2,4.256321678298823,2,4,0
1,0,36.0,0,0,4.91730069488021,0,3,1
3,1,61.0,0,0,1.9792758428991135,2,4,0
2,0,36.0,0,0,2.6390573296152584,2,5,1
3,0,31.0,1,1,3.0692150503137943,2,5,1
1,0,16.0,0,1,4.077184839375167,0,3,1
3,0,31.4,2,0,3.188416617383492,1,3,1
1,1,45.5,0,0,3.3843902633457743,2,4,0
1,1,38.0,0,1,5.039951348430309,2,4,0
3,1,16.0,2,0,2.9444389791664403,2,4,0
1,0,37.8,1,0,4.902678819257608,2,5,1
3,1,31.8,0,0,2.1855792552411137,2,4,0
1,1,29.0,1,0,4.213607983048918,2,4,0
1,0,41.0,0,0,4.908971640319756,0,3,1
3,1,45.0,0,0,2.2027647577118348,2,4,1
1,1,45.0,0,0,3.597312260588446,2,4,0
2,1,2.0,1,1,3.295836866004329,2,1,1
1,0,24.0,3,2,5.575949103146316,2,3,1
2,1,28.0,0,0,2.6390573296152584,2,4,0
2,1,25.0,0,0,2.6390573296152584,2,4,0
2,1,36.0,0,0,2.6390573296152584,2,4,0
2,0,24.0,0,0,2.6390573296152584,2,3,1
2,0,40.0,0,0,2.6390573296152584,2,3,1
3,0,29.5,1,0,2.8390784635086144,2,5,1
3,1,3.0,1,1,2.827313621929028,2,1,1
3,1,42.0,0,0,2.2682524139135403,2,4,0
3,1,23.0,0,0,2.3248357019288655,2,4,0
1,1,49.4,0,0,3.58351893845611,2,4,0
3,1,15.0,1,1,2.1076888046179385,0,4,0
3,1,25.0,1,0,2.9338568698359038,2,4,0
3,1,26.4,0,0,2.1071782966514356,0,4,0
3,1,28.0,0,0,2.3513752571634776,2,4,0
1,0,22.0,0,1,4.02535169073515,2,3,1
2,0,38.0,0,0,2.6390573296152584,2,3,0
3,0,29.0,0,0,2.1837114628556327,1,3,1
3,0,29.0,0,0,2.1837114628556327,1,3,1
3,1,40.0,1,4,3.3638415951183864,2,4,0
2,1,29.0,1,0,3.357621598945279,0,4,0
3,0,45.0,0,1,2.737880811060884,0,5,0
3,1,35.0,0,0,2.085672091430472,2,4,0
3,1,25.8,1,0,2.803360380906535,1,4,0
3,1,30.0,0,0,2.1102132003465894,2,4,0
1,0,60.0,1,0,4.334017415487521,0,5,1
3,0,20.8,0,0,2.1076888046179385,0,5,1
3,0,34.4,0,0,2.169053700369523,1,3,1
1,0,24.0,0,0,4.252771798816619,0,5,1
1,1,25.0,1,0,4.0332082470129285,0,4,1
3,1,18.0,1,0,2.0143428636837015,2,4,0
3,1,19.0,0,0,2.2027647577118348,2,4,0
1,1,22.0,0,0,4.91730069488021,0,4,0
3,0,3.0,3,1,3.0944457464900235,2,3,0
1,0,30.2,1,0,4.420896324687287,0,5,1
3,0,22.0,0,0,2.1102132003465894,2,3,1
1,1,27.0,0,2,5.358941988364472,0,4,0
3,1,20.0,0,0,1.6119347926326877,0,4,0
3,1,19.0,0,0,2.1719067693519296,2,4,0
1,0,42.0,0,0,5.4316456135398825,0,3,1
3,0,1.0,0,2,2.817902613071225,0,3,1
3,1,32.0,0,0,2.188856327665703,2,4,0
1,0,35.0,1,0,3.970291913552122,2,5,1
3,1,31.8,0,0,2.1855792552411137,2,4,0
2,1,18.0,0,0,4.310799125385514,2,4,0
3,1,1.0,5,2,3.8691155044168695,2,1,0
2,0,36.0,0,0,2.6390573296152584,2,3,1
3,1,27.0,0,0,2.1666737276227077,1,4,0
2,0,17.0,0,0,2.5649493574615367,0,3,1
1,1,36.0,1,2,4.795790545596741,2,4,1
3,1,21.0,0,0,2.174274334826008,2,4,1
3,1,28.0,2,0,2.188856327665703,2,4,0
1,0,23.0,1,0,4.738607824217808,0,3,1
3,0,24.0,0,2,2.8735646395797834,2,5,1
3,1,22.0,0,0,2.174274334826008,2,4,0
3,0,31.0,0,0,2.180891922715322,2,3,0
2,1,46.0,0,0,3.295836866004329,2,4,0
2,1,23.0,0,0,2.4423470353692043,2,0,0
2,0,28.0,0,0,2.613739521630969,2,5,1
3,1,39.0,0,0,2.188856327665703,2,4,1
3,1,26.0,0,0,2.2027647577118348,2,4,0
3,0,21.0,1,0,2.3818582738885534,2,3,0
3,1,28.0,1,0,2.8243506567983707,2,4,0
3,0,20.0,0,0,2.2682524139135403,2,3,0
2,1,34.0,1,0,3.091042453358316,2,4,0
3,1,51.0,0,0,2.169053700369523,2,4,0
2,1,3.0,1,1,2.9831534913471307,2,1,1
3,1,21.0,0,0,2.1719067693519296,2,4,0
3,0,12.8,3,1,3.275887339030031,2,3,0
3,1,31.8,0,0,2.1855792552411137,2,4,0
3,1,27.6,0,0,2.061570298060867,1,4,0
1,0,33.0,1,0,4.51085950651685,1,3,1
2,1,36.4,0,0,0.0,2,4,0
3,1,44.0,0,0,2.188856327665703,2,4,1
3,0,24.6,0,0,2.2027647577118348,2,5,0
2,0,34.0,1,1,3.5115454388310208,2,5,1
2,0,18.0,0,2,2.6390573296152584,2,3,1
2,1,30.0,0,0,2.6390573296152584,2,4,0
3,0,10.0,0,2,3.224857896545748,2,3,0
3,1,31.8,0,0,2.1855792552411137,0,4,0
3,1,21.0,0,0,2.167143305297764,1,4,0
3,1,29.0,0,0,2.1832383353614797,2,4,0
3,0,28.0,1,1,2.7343675094195836,2,5,0
3,1,18.0,1,1,3.0545906305603445,2,4,0
3,1,33.9,0,0,2.1102132003465894,2,4,0
2,0,28.0,1,0,3.295836866004329,2,5,1
2,0,19.0,0,0,3.295836866004329,2,3,1
3,1,34.4,0,0,2.169053700369523,1,4,0
3,1,32.0,0,0,2.2027647577118348,2,4,1
1,1,28.0,0,0,3.3160025355989236,2,4,1
3,0,29.5,1,0,2.8390784635086144,2,5,1
2,0,42.0,1,0,3.295836866004329,2,5,1
3,1,17.0,0,0,2.094945728215801,2,4,0
1,1,50.0,1,0,4.041295341132285,2,4,0
1,0,14.0,1,2,4.795790545596741,2,3,1
3,0,21.0,2,2,3.5660053559634015,2,3,0
2,0,24.0,2,3,2.9831534913471307,2,5,1
1,1,64.0,1,4,5.575949103146316,2,4,0
2,1,31.0,0,0,2.4423470353692043,2,4,0
2,0,45.0,1,1,3.305053521109253,2,5,1
3,1,20.0,0,0,2.3513752571634776,2,4,0
3,1,25.0,1,0,2.1719067693519296,2,4,0
